"cat"	"dem_RANGE"	"dem_MEAN"	"fac_MEAN"	"hdis_MIN"	"hdis_MEAN"	"gradient_MEAN"	"relief_MEAN"	"roughness_MEAN"	"vdis_MIN"	"vdis_MEAN"
"1"	"©Y"	"134.306666666667"	"133.133333333333"	"772.002466666667"	"14.1990666666667"	"461.513866666667"	"7.455"	"135.271333333333"	"0.117266666666667"	"0.0266666666666667"	"36.3363333333333"
"2"	"¶`"	"96.1238095238095"	"95.0536190476191"	"1090.37938095238"	"7.30704761904762"	"387.337095238095"	"5.55147619047619"	"100.18780952381"	"0.0875238095238095"	"0"	"22.9830952380952"
"3"	"∞Ò"	"92.9346534653465"	"67.3962772277228"	"644.192594059406"	"23.6155841584158"	"456.513841584158"	"5.93992079207921"	"94.4606732673267"	"0.0918415841584158"	"0.00792079207920792"	"20.2622574257426"
"4"	"∑æ"	"61.7539149888143"	"59.8898881431767"	"1079.48391498881"	"12.5273154362416"	"431.796375838926"	"4.04628635346756"	"65.6049217002237"	"0.0621700223713647"	"0.0223713646532438"	"13.8519015659955"
"5"	"∆W"	"188.457142857143"	"161.247285714286"	"1967.45664285714"	"16.5475"	"434.43175"	"10.3160357142857"	"194.617785714286"	"0.168785714285714"	"0"	"44.85275"
"6"	"ß|"	"231.09325044405"	"209.661203374778"	"745.652873001776"	"26.7221358792185"	"505.71743339254"	"15.1970293072824"	"232.825896980462"	"0.242895204262877"	"0.340142095914742"	"65.6710168738899"
"7"	"§s"	"206.565704183854"	"222.349593400118"	"1034.77621096052"	"31.4878727165586"	"490.581054802593"	"11.3805185621685"	"209.376529169122"	"0.183765468473777"	"0.625810253388332"	"59.0205303476724"
"8"	"±["	"142.189855072464"	"131.809086956522"	"905.969101449275"	"57.6457971014493"	"525.902652173913"	"8.43233333333333"	"145.193898550725"	"0.134086956521739"	"0.368115942028986"	"41.8244637681159"
"9"	"¥Ú"	"198.697796432319"	"213.771836306401"	"594.94203567681"	"28.0530115424974"	"516.884407135362"	"11.6316369359916"	"200.044008394544"	"0.185907660020986"	"0.303252885624344"	"58.8198530954879"
"10"	"¶ø"	"56.9150943396226"	"52.0404716981132"	"1553.24122641509"	"11.8588679245283"	"436.647264150943"	"3.57320754716981"	"56.9541509433962"	"0.0531132075471698"	"0"	"12.4568867924528"
"11"	"≥ª"	"115.727032385988"	"117.835961665565"	"1003.21066093853"	"30.0962392597488"	"493.965776602776"	"6.84300066093853"	"118.050727032386"	"0.106913417052214"	"0.288169200264375"	"32.4332385988103"
"12"	"Ÿı"	"104.554838709677"	"132.417870967742"	"532.456516129032"	"20.1303870967742"	"441.558709677419"	"6.04896774193548"	"105.767870967742"	"0.0947741935483871"	"0.535483870967742"	"31.4062580645161"
"13"	"∑À"	"130.855981416957"	"130.070034843206"	"1853.93787456446"	"17.6544947735192"	"398.555458768873"	"7.57124274099884"	"137.648931475029"	"0.121777003484321"	"0.0418118466898955"	"33.1800348432056"
"14"	"ºÊ"	"112.521091811414"	"99.5115136476427"	"1631.40875930521"	"10.663300248139"	"430.257146401985"	"7.50570719602978"	"115.726327543424"	"0.119255583126551"	"0.148883374689826"	"28.0984367245658"
"15"	"§Ù"	"173.799807507218"	"186.212675649663"	"978.826304138595"	"26.4158902791145"	"463.807410972089"	"10.1378729547642"	"178.010923965351"	"0.162146294513956"	"0.153994225216554"	"48.7279980750722"
"16"	"©W"	"255.234948604993"	"283.335022026432"	"1209.72521292217"	"34.5558443465492"	"476.471204111601"	"14.9429515418502"	"262.469030837004"	"0.240543318649046"	"0.39647577092511"	"76.6520851688693"
"17"	"±T"	"137.011764705882"	"128.782490196078"	"788.096392156863"	"44.6646470588235"	"520.646019607843"	"9.6503137254902"	"137.989666666667"	"0.149039215686275"	"0.096078431372549"	"40.0831176470588"
"18"	"Ær"	"116.716247139588"	"115.932059496568"	"1902.42901601831"	"31.2572082379863"	"447.416453089245"	"7.23162471395881"	"121.838947368421"	"0.112242562929062"	"0.22883295194508"	"31.8163844393593"
"19"	"®¶"	"419.454545454545"	"429.231090909091"	"2629.88327272727"	"46.3992727272727"	"447.468727272727"	"21.316"	"451.058181818182"	"0.371636363636364"	"0.309090909090909"	"106.958727272727"
"20"	"ÆH"	"102.325876662636"	"103.138585247884"	"1147.07001813785"	"17.3792684401451"	"431.203391777509"	"6.26994558645707"	"107.310743651753"	"0.097503022974607"	"0.0501813784764208"	"25.0871342200726"
"21"	"·Y"	"39.432"	"32.7658"	"1755.9796"	"16.99864"	"433.95844"	"2.47956"	"41.02668"	"0.03672"	"0.004"	"7.93104"
