FID	place_name	category1	dem_MEAN	fac_MEAN	distance_MEAN	gradient_MEAN	relief_MEAN	roughness_MEAN	DEM_RANGE
4515	溪埔仔	埔溪	134.42 	134.81 	408.14 	4.21 	100.56 	0.06 	31
4550	溪埔仔	埔溪	136.81 	11353.83 	255.75 	2.08 	45.45 	0.03 	32
12027	溪埔	埔溪	197.09 	52.99 	567.88 	6.10 	123.35 	0.10 	81
22693	溪埔仔	埔溪	228.15 	28.95 	256.29 	0.91 	220.46 	0.22 	189
25381	溪埔	埔溪	231.37 	4659.97 	339.17 	0.55 	275.45 	0.01 	24
7437	溪埔仔	埔溪	283.85 	173.44 	396.91 	6.69 	115.25 	0.10 	134
21291	三重溪埔	埔溪	306.81 	340.38 	305.14 	0.73 	122.59 	0.01 	329
20149	三層溪埔	埔溪	451.74 	14164.81 	268.48 	17.66 	449.79 	0.30 	370
28148	頂溪埔	埔溪頂	2.41 	20.46 	620.68 	11.56 	7.81 	0.17 	4
15736	頂溪埔	埔溪頂	2.47 	168.89 	448.20 	5.50 	321.13 	0.55 	5
28073	頂頭仔溪埔	埔溪頂	13.40 	51.29 	474.48 	22.76 	527.83 	0.20 	6
40089	潭底埔仔	埔潭	4.15 	73.15 	232.16 	1.92 	47.84 	0.01 	9
12381	潭埔	埔潭	10.98 	227.44 	534.34 	15.90 	134.09 	0.06 	11
20969	潭埔	埔潭	10.98 	16224.96 	289.91 	5.09 	466.05 	0.23 	11
38471	潭埔	埔潭	10.98 	787.30 	594.21 	0.53 	38.41 	0.01 	11
35935	潭埔	埔潭	12.29 	9601.42 	601.98 	1.17 	692.39 	0.02 	25
22726	潭埔	埔潭	16.62 	53.22 	494.04 	1.13 	634.96 	0.17 	4
35593	豬槽潭埔	埔潭	168.10 	20.87 	516.73 	0.63 	8.41 	0.02 	265
12380	潭埔	埔潭	237.59 	16453.28 	1093.49 	1.79 	11.65 	0.05 	215
28596	灣潭下埔	埔潭灣	47.31 	1642.67 	329.24 	0.50 	191.08 	0.24 	152
4309	灣潭頂埔	埔潭灣頂	55.84 	14585.52 	203.12 	13.07 	197.59 	0.21 	176
12125	灣子埔	埔灣	2.47 	19.40 	952.13 	4.70 	357.52 	0.26 	9
3400	灣仔埔	埔灣	2.49 	30.69 	724.81 	3.41 	8.68 	0.43 	9
25832	灣仔內埔	埔灣	5.98 	50.89 	287.21 	4.88 	125.86 	0.02 	10
39302	五崁仔	崁	1.45 	39.72 	339.89 	5.28 	294.90 	0.01 	5
433	五崁仔	崁	1.71 	1774.37 	349.19 	9.88 	10.82 	0.04 	6
39291	崁仔下	崁	1.74 	40.53 	398.75 	0.45 	8.97 	0.02 	7
517	四崁仔	崁	2.01 	199.40 	1066.87 	21.75 	272.82 	0.13 	6
36425	崁子腳	崁	2.61 	105.07 	919.45 	2.24 	7.49 	0.02 	8
6293	二崁	崁	2.73 	435.23 	625.64 	0.45 	7.86 	0.22 	10
11683	第三崁	崁	2.81 	386.58 	362.75 	1.73 	105.76 	0.02 	7
11686	第四崁	崁	2.85 	514.30 	749.87 	1.31 	7.95 	0.02 	9
11684	第三崁	崁	2.87 	490.01 	583.24 	1.22 	12.65 	0.02 	10
1124	第三崁	崁	2.93 	44.33 	586.48 	1.47 	26.88 	0.02 	7
29951	崁後	崁	2.97 	439.23 	308.22 	0.69 	442.25 	0.01 	7
19174	崁後南	崁	3.00 	36.29 	408.86 	0.95 	51.08 	0.01 	7
29880	四崁	崁	3.01 	25.71 	429.54 	6.65 	16.99 	0.13 	9
5032	赤崁	崁	3.03 	3454.78 	267.32 	14.05 	128.84 	0.32 	13
25867	下崁仔	崁	3.06 	4176.34 	316.50 	0.46 	168.84 	0.09 	8
11687	第四崁	崁	3.07 	28.95 	490.57 	1.55 	44.36 	0.02 	8
70	下崁	崁	3.22 	1614.32 	804.74 	12.67 	49.61 	0.01 	6
21823	三崁	崁	3.23 	52.06 	191.79 	1.57 	19.29 	0.48 	10
11680	第二崁	崁	3.24 	51.33 	363.84 	10.38 	72.02 	0.01 	10
11678	第二崁	崁	3.33 	139.13 	228.83 	7.44 	60.29 	0.02 	10
30799	崩崁	崁	3.39 	1640.66 	512.47 	1.45 	128.05 	0.23 	42
37807	崁下	崁	3.47 	81.04 	631.40 	14.85 	16.25 	0.16 	10
28835	崁?	崁	3.61 	515.98 	289.52 	1.10 	147.44 	0.02 	6
29954	崁前	崁	3.61 	12.80 	815.41 	0.98 	7.04 	0.00 	6
11663	第二崁	崁	3.68 	109.75 	528.37 	1.52 	57.74 	0.01 	10
22543	崁頭寮	崁	3.74 	40.55 	933.66 	0.49 	327.23 	0.02 	4
24224	崁頭寮	崁	3.74 	260.64 	473.35 	1.44 	160.32 	0.02 	4
34816	三崁店	崁	3.80 	190.43 	205.97 	23.92 	7.48 	0.21 	12
11679	第二崁	崁	3.83 	911.29 	377.76 	0.90 	171.52 	0.27 	10
3724	三崁店	崁	3.86 	356.45 	225.43 	19.38 	11.63 	0.02 	10
11676	第一崁	崁	4.05 	1319.74 	446.80 	2.14 	13.11 	0.28 	10
25876	崁仔腳	崁	4.08 	175.27 	302.40 	0.43 	89.68 	0.02 	7
11677	第一崁	崁	4.11 	136.45 	262.46 	1.54 	7.60 	0.26 	10
11662	第二崁	崁	4.28 	129.08 	335.38 	22.65 	30.64 	0.02 	7
579	崁腳	崁	4.49 	65.05 	409.94 	13.20 	347.76 	0.01 	12
4321	赤崁	崁	4.53 	9432.67 	245.18 	17.60 	19.98 	0.02 	17
11675	第一崁	崁	4.72 	131.17 	303.14 	16.66 	364.00 	0.01 	10
30569	崁仔腳	崁	4.89 	375.67 	179.71 	0.75 	9.53 	0.01 	21
3168	七崁頭	崁	5.05 	41.35 	502.28 	16.28 	10.11 	0.03 	9
11674	第一崁	崁	5.17 	121.22 	309.08 	1.15 	159.58 	0.02 	7
585	下崁庄	崁	5.18 	27.18 	350.58 	0.84 	8.78 	0.01 	8
5033	赤崁	崁	5.20 	14.78 	337.14 	13.57 	116.17 	0.01 	13
25034	五崁仔	崁	5.27 	188.92 	346.75 	17.34 	12.23 	0.26 	8
25027	十六崁	崁	5.27 	240.85 	330.20 	1.35 	30.54 	0.01 	8
25035	十六崁	崁	5.27 	5346.58 	364.88 	3.32 	104.97 	0.01 	8
25004	崁仔腳	崁	5.40 	6.91 	607.74 	0.95 	69.10 	0.02 	7
29899	崁仔腳	崁	5.47 	136.45 	326.97 	1.27 	22.84 	0.02 	10
36432	崁頭厝	崁	5.91 	2244.36 	1131.36 	25.46 	7.61 	0.23 	14
21633	小崁腳	崁	5.98 	756.29 	494.06 	1.65 	10.35 	0.01 	65
31925	三崁店	崁	6.03 	851.43 	252.88 	0.99 	14.13 	0.01 	12
27586	崁仔庄	崁	6.10 	50.76 	361.87 	5.19 	382.08 	0.01 	11
29894	崁頭厝	崁	6.22 	55.48 	282.96 	10.26 	231.82 	0.01 	10
21632	小崁	崁	6.54 	278.84 	337.54 	0.63 	10.40 	0.20 	75
2972	崁腳	崁	7.04 	14.31 	1044.30 	19.11 	4.77 	0.01 	11
34245	崁腳	崁	7.06 	61.50 	315.15 	11.04 	239.50 	0.03 	11
5996	赤崁	崁	7.89 	5224.10 	321.96 	1.68 	101.81 	0.02 	19
30683	赤崁	崁	7.89 	126.07 	341.40 	1.81 	29.05 	0.02 	19
1703	四崁仔車	崁	8.83 	177.26 	305.42 	0.26 	153.42 	0.08 	14
40762	四崁	崁	9.28 	214.27 	232.31 	1.09 	114.95 	0.01 	40
38596	崁仔下角	崁	10.32 	269.82 	297.66 	20.44 	459.04 	0.10 	19
21743	赤崁	崁	10.41 	81.20 	593.10 	1.22 	541.98 	0.72 	56
21765	赤崁	崁	10.41 	46.95 	1037.78 	4.98 	43.15 	0.36 	56
11310	崁頭厝	崁	10.56 	65.44 	522.92 	18.10 	43.53 	0.01 	24
32038	崁仔腳	崁	10.61 	91.53 	338.66 	35.61 	5.81 	0.04 	6
3557	十一崁	崁	10.71 	36.57 	219.80 	13.98 	23.71 	0.53 	4
39216	崁腳	崁	10.71 	74.85 	229.70 	1.72 	101.68 	0.07 	21
29526	崁頭屋	崁	10.86 	237.86 	815.77 	21.99 	9.03 	0.03 	24
19178	崁頭	崁	10.98 	282.58 	510.09 	6.30 	14.31 	0.03 	24
1738	崁頭厝	崁	11.07 	135.96 	296.55 	17.60 	257.74 	0.27 	6
20933	崁頭	崁	11.10 	181.90 	469.61 	0.76 	345.80 	0.17 	7
38440	崁頭	崁	11.10 	614.52 	298.30 	1.14 	30.61 	0.01 	7
3953	崁腳	崁	11.20 	782.75 	419.02 	1.23 	24.48 	0.02 	16
13589	外石崁	崁	12.63 	6785.19 	400.51 	1.84 	485.45 	0.09 	9
4356	上崁	崁	13.32 	161.96 	558.40 	27.89 	572.68 	0.47 	87
4357	下崁	崁	13.41 	15.06 	694.94 	1.68 	74.15 	0.03 	54
33894	崁仔腳	崁	13.49 	273.19 	351.70 	5.60 	10.65 	0.01 	63
19173	崁尾仔	崁	13.70 	3707.93 	299.56 	18.22 	6.89 	0.12 	27
25571	崁尾仔	崁	13.70 	72.35 	287.53 	17.73 	28.61 	0.11 	27
37338	崁頭	崁	13.82 	52.72 	274.95 	1.58 	121.62 	0.12 	22
21749	崁腳	崁	14.75 	15.98 	710.61 	0.94 	97.68 	0.01 	4
25620	崁腳、嵌腳	崁	14.94 	62.20 	238.63 	17.67 	19.71 	0.01 	33
2452	崁腳	崁	15.02 	2750.28 	225.74 	1.64 	19.65 	0.02 	19
29110	崁仔腳	崁	15.22 	6791.19 	501.19 	15.77 	85.29 	0.10 	24
26792	崩崁尾	崁	15.28 	26.02 	265.68 	22.30 	5.41 	0.01 	7
19172	崁仔��	崁	16.02 	3263.05 	365.87 	0.97 	131.01 	0.31 	24
18877	崩崁下	崁	16.06 	107.32 	357.28 	1.97 	54.20 	0.01 	73
11298	崁仔頭	崁	16.43 	43.34 	263.05 	7.40 	7.73 	0.02 	175
4337	大崁腳	崁	16.57 	3125.32 	822.88 	4.95 	138.29 	0.05 	117
21722	崁腳	崁	16.81 	41.49 	379.32 	1.38 	15.86 	0.02 	10
20997	二崁	崁	16.96 	35.55 	327.12 	0.90 	89.28 	0.02 	33
38494	二崁	崁	16.96 	5322.17 	772.19 	0.80 	64.35 	0.00 	33
