FID	place_name	category1	dem_MEAN	fac_MEAN	distance_MEAN	gradient_MEAN	relief_MEAN	roughness_MEAN	DEM_RANGE
24311	新山仔寮	山	0.18 	16.26 	635.31 	18.08 	282.69 	0.29 	4
31153	新山仔寮	山	0.18 	18.07 	966.37 	29.41 	119.68 	0.05 	4
9247	青山港汕	山	0.34 	1384.49 	546.34 	1.24 	15.47 	0.01 	9
30778	大山仔	山	0.57 	399.51 	350.14 	29.28 	109.25 	0.50 	5
24267	塚山	山	0.67 	16740.75 	707.31 	1.87 	820.28 	0.01 	2
30877	塚山	山	0.67 	176.68 	415.83 	0.88 	677.03 	0.09 	2
13350	仙山口	山	0.79 	1462.09 	375.84 	0.75 	13.21 	0.14 	5
15957	冬山	山	0.79 	519.81 	452.51 	14.16 	118.96 	0.05 	5
16990	龍山	山	0.85 	37.70 	377.55 	20.90 	8.43 	0.00 	2
30784	西海尾、大山仔	山	0.87 	44.28 	346.73 	1.00 	401.83 	0.01 	17
5957	下山仔寮	山	0.93 	14023.16 	331.04 	25.91 	577.03 	0.46 	2
30690	下山仔寮	山	0.93 	579.81 	343.77 	7.45 	12.74 	0.28 	2
16039	東龍山村	山	1.06 	184.87 	338.71 	7.11 	358.52 	0.01 	2
19228	紅山仔	山	1.13 	225.47 	387.23 	23.50 	27.31 	0.02 	6
17597	廣山材	山	1.31 	50.83 	494.18 	0.83 	15.90 	0.01 	4
6060	南山里	山	1.37 	63.36 	733.19 	2.96 	360.13 	0.02 	11
27800	南山里	山	1.37 	12325.42 	260.44 	2.19 	8.07 	0.01 	11
34273	山寮仔	山	1.40 	101.44 	314.09 	15.48 	299.54 	0.16 	4
30806	山豹	山	1.40 	415.31 	342.21 	3.71 	617.12 	0.15 	6
6056	松山里	山	1.63 	43.25 	717.08 	1.08 	27.13 	0.01 	11
27796	松山里	山	1.63 	187.96 	510.68 	9.43 	245.21 	0.22 	11
6057	山仔後	山	1.65 	57.10 	487.74 	24.76 	17.69 	0.31 	11
27797	山仔後	山	1.65 	330.48 	359.42 	1.31 	14.15 	0.01 	11
33181	山仔後	山	1.65 	68.85 	753.88 	4.18 	4.49 	0.17 	11
6061	山仔腳	山	1.72 	2.28 	431.65 	0.53 	22.35 	0.08 	11
27801	山仔腳	山	1.72 	274.53 	328.34 	1.31 	61.09 	0.04 	11
22472	西山	山	1.72 	12.57 	148.26 	12.50 	126.46 	0.07 	4
24132	西山	山	1.72 	211.16 	246.56 	1.63 	179.69 	0.01 	4
6058	山仔	山	1.73 	27.07 	246.15 	15.80 	6.76 	0.08 	11
6062	山仔	山	1.73 	130.31 	328.00 	31.48 	7.24 	0.20 	11
27798	山仔	山	1.73 	130.27 	336.26 	4.57 	120.50 	0.01 	11
27802	山仔	山	1.73 	42.59 	392.44 	34.73 	168.46 	0.20 	11
22467	西山寮仔	山	1.86 	171.26 	500.90 	18.91 	9.36 	0.15 	4
24127	西山寮仔	山	1.86 	5201.52 	209.44 	4.38 	8.50 	0.51 	4
29649	下山寮	山	1.97 	116.95 	273.35 	16.08 	5.09 	0.26 	5
3435	山寮	山	2.17 	1.65 	236.03 	1.14 	4.33 	0.01 	4
14129	百年中山新村	山	2.21 	264.84 	342.72 	0.56 	19.72 	0.02 	5
22923	山寮	山	2.33 	347.35 	468.18 	16.48 	847.35 	0.40 	6
36427	山邊	山	2.54 	30.20 	598.96 	1.26 	123.21 	0.01 	8
31083	下山子腳	山	2.63 	239.15 	532.23 	1.10 	612.26 	0.01 	4
31086	下山寮	山	2.76 	96.61 	630.80 	22.70 	78.44 	0.09 	4
3509	頭前山仔	山	2.80 	357.54 	418.81 	0.51 	4.78 	0.01 	5
32344	頭前山仔	山	2.80 	10806.51 	436.21 	5.70 	414.03 	0.01 	5
22434	文山	山	2.87 	32.15 	228.88 	0.56 	19.32 	0.32 	4
24085	文山	山	2.87 	81.39 	213.52 	20.04 	11.92 	0.01 	4
31942	後崩山	山	2.89 	23.05 	589.90 	1.32 	22.52 	0.08 	10
4390	海山頭	山	2.93 	129.44 	265.46 	1.04 	218.05 	0.01 	8
22953	下桂山	山	2.94 	95.33 	1120.27 	0.75 	344.53 	0.25 	3
15958	冬山	山	3.11 	23.96 	567.90 	0.83 	123.17 	0.01 	17
8777	冬山街仔	山	3.12 	92.16 	381.88 	1.10 	43.06 	0.02 	17
7786	麟山鼻	山	3.26 	270.42 	273.94 	10.01 	94.58 	0.15 	48
38056	中庄山腳	山	3.33 	551.87 	271.56 	28.91 	11.71 	0.01 	6
22973	山寮	山	3.34 	474.64 	278.76 	1.09 	374.72 	0.27 	4
29672	山寮	山	3.42 	45.47 	764.12 	0.40 	25.66 	0.02 	6
31941	前崩山	山	3.46 	35.13 	290.25 	25.12 	137.73 	0.39 	10
14173	尖山腳	山	3.50 	453.31 	391.78 	18.70 	85.21 	0.08 	6
12843	大山	山	3.50 	34.45 	296.71 	0.96 	416.37 	0.08 	8
26847	中山	山	3.69 	1677.26 	419.55 	0.35 	474.94 	0.32 	6
2231	山寮	山	3.70 	579.90 	325.64 	0.81 	9.00 	0.01 	12
37008	山寮	山	3.70 	312.75 	629.82 	0.87 	18.62 	0.48 	12
22509	山仔腳	山	3.77 	1407.12 	895.83 	6.47 	22.36 	0.49 	4
24187	山仔腳	山	3.77 	1.82 	227.06 	8.70 	483.23 	0.28 	4
33107	山子腳	山	3.78 	501.89 	346.06 	3.41 	458.95 	0.01 	2
22507	下山仔腳	山	3.86 	258.83 	722.82 	25.86 	22.85 	0.55 	2
24185	下山仔腳	山	3.86 	1631.72 	228.49 	0.82 	10.58 	0.08 	2
22904	中尖山	山	3.89 	27.31 	611.24 	14.12 	9.16 	0.55 	6
36853	山腳寮	山	3.95 	199.64 	1031.33 	10.75 	382.60 	0.02 	4
11994	獅山	山	4.04 	44.86 	205.13 	15.99 	254.31 	0.19 	8
25875	下山腳	山	4.08 	31.44 	523.37 	0.60 	7.90 	0.05 	7
34909	西山	山	4.15 	21.45 	725.67 	10.82 	113.51 	0.01 	8
23645	山頭社	山	4.43 	32.79 	283.90 	0.70 	29.09 	0.02 	11
14802	尖山	山	4.49 	94.52 	259.75 	16.53 	211.49 	0.01 	6
34906	香山厝	山	4.58 	32.83 	447.53 	5.41 	20.24 	0.01 	9
31841	海山磚仔窯	山	4.63 	269.14 	527.94 	14.92 	5.52 	0.01 	12
22911	鬼子山	山	4.69 	1805.27 	418.05 	0.82 	168.97 	0.01 	3
646	圓山	山	4.99 	1010.40 	206.09 	1.15 	77.59 	0.01 	98
29607	山寮仔	山	5.16 	2965.41 	241.31 	9.48 	97.04 	0.02 	7
3598	山寮	山	5.39 	1023.10 	516.22 	1.10 	131.63 	0.24 	3
32296	山寮	山	5.39 	24.80 	598.86 	8.48 	14.40 	0.30 	3
12848	大山社區	山	5.40 	156.32 	522.86 	18.51 	45.18 	0.02 	27
15798	梅花山莊	山	5.48 	4176.34 	534.01 	3.59 	531.37 	0.29 	47
38791	山寮仔	山	5.53 	39.10 	412.30 	0.68 	116.84 	0.02 	3
16915	龜山頭	山	5.75 	572.56 	260.25 	0.41 	25.91 	0.04 	74
11045	馬草山	山	5.76 	717.78 	145.17 	8.99 	7.85 	0.14 	9
2407	虎仔山	山	5.81 	30.94 	653.08 	12.53 	151.48 	0.19 	13
2408	虎仔山	山	5.81 	397.63 	362.12 	0.65 	7.06 	0.01 	13
34846	虎仔山	山	5.81 	5668.05 	269.56 	1.55 	28.24 	0.01 	13
34920	山尾	山	5.81 	191.95 	428.07 	16.18 	73.92 	0.44 	13
40131	山霸	山	5.89 	47.96 	827.68 	8.21 	14.44 	0.13 	15
37898	岡山牛墟	山	5.93 	46.30 	475.81 	1.39 	3.74 	0.00 	9
22191	屎山仔	山	6.01 	3.49 	427.55 	15.90 	21.60 	0.03 	17
23928	屎山仔	山	6.01 	20.42 	1009.88 	6.92 	28.38 	0.02 	17
3161	鹽館園山仔	山	6.21 	288.64 	240.25 	0.48 	4.94 	0.01 	5
39461	山林尾	山	6.25 	292.16 	333.81 	19.60 	180.63 	0.31 	8
37903	岡山	山	6.36 	970.61 	186.71 	1.37 	9.20 	0.01 	14
22264	大堀頭山仔	山	6.71 	678.60 	200.96 	8.22 	6.11 	0.02 	5
11190	後山	山	6.75 	91.31 	494.25 	16.63 	200.56 	0.23 	53
36352	山仔腳	山	6.80 	1334.98 	507.25 	26.47 	70.50 	0.01 	29
28155	山寮	山	6.91 	24.85 	505.97 	2.40 	17.82 	0.01 	5
9025	崗山	山	7.10 	68.48 	304.87 	8.32 	9.68 	0.12 	12
9026	崗山子	山	7.10 	48.25 	348.05 	1.31 	26.29 	0.02 	12
39392	崗山仔	山	7.10 	47.63 	400.00 	1.90 	31.75 	0.21 	12
22992	馬山厝	山	7.21 	29.69 	527.51 	14.45 	166.48 	0.02 	4
26988	山寮	山	7.26 	3373.15 	536.70 	8.29 	151.20 	0.05 	7
28172	山寮子	山	7.26 	30.62 	184.70 	14.31 	14.65 	0.01 	5
18847	崑山	山	7.39 	13.35 	267.84 	0.86 	581.74 	0.01 	12
17694	鳳山厝	山	7.45 	27.43 	855.23 	26.52 	8.56 	0.04 	9
25520	屎山仔	山	7.46 	15.88 	375.60 	1.50 	178.59 	0.02 	19
28173	下山寮	山	7.68 	705.15 	1001.22 	0.38 	746.48 	0.30 	10
33926	海山罟	山	7.69 	34.73 	1077.82 	0.55 	183.71 	0.01 	60
33928	海山罟	山	7.69 	89.05 	848.02 	1.32 	22.28 	0.48 	60
25800	山霸園	山	7.70 	22.20 	874.66 	8.57 	24.39 	0.02 	19
39207	山廣	山	7.71 	51.59 	874.00 	19.65 	237.13 	0.10 	21
23628	虎山	山	7.75 	2176.71 	723.27 	1.44 	18.67 	0.04 	18
26858	山寮	山	7.75 	336.63 	565.17 	0.58 	728.82 	0.00 	3
5971	山仔	山	7.77 	58.79 	249.49 	0.61 	9.05 	0.07 	22
30657	山仔	山	7.77 	2614.15 	1019.43 	1.46 	17.46 	0.02 	22
33844	山?	山	7.94 	1621.97 	996.56 	21.83 	86.34 	0.01 	10
39424	青山	山	7.95 	100.52 	342.98 	19.80 	130.11 	0.03 	8
32607	月眉山下	山	7.99 	31.38 	581.97 	1.87 	413.62 	0.32 	10
1675	山寮角	山	8.18 	13619.99 	247.93 	1.46 	12.82 	0.02 	3
34147	山仔腳	山	8.31 	381.34 	321.08 	1.60 	345.94 	0.42 	4
2929	山寮	山	8.35 	56.82 	570.12 	0.49 	5.31 	0.01 	6
14130	百年員山新村	山	8.40 	604.76 	446.36 	12.14 	97.60 	0.19 	36
15671	馬鳴山	山	8.41 	32.20 	338.89 	0.59 	322.08 	0.01 	8
1335	山寮	山	8.43 	831.19 	246.28 	1.70 	21.20 	0.02 	8
40451	山腳	山	8.47 	253.55 	300.33 	7.78 	5.74 	0.02 	56
7004	山寮	山	8.50 	27.17 	775.66 	14.24 	300.54 	0.23 	7
23957	外員山	山	8.51 	17.25 	276.31 	16.10 	17.24 	0.02 	44
36938	古山庄	山	8.53 	1.60 	429.87 	23.86 	16.73 	0.03 	8
1733	山寮	山	8.55 	367.98 	296.18 	0.53 	7.93 	0.01 	5
30241	龜佛山	山	8.60 	54.79 	549.84 	12.31 	5.36 	0.21 	4
25320	員山磚仔窯	山	8.65 	87.76 	706.27 	1.19 	32.67 	0.10 	43
17695	鳳山宮	山	8.91 	357.70 	825.69 	27.00 	108.59 	0.01 	13
37041	山豬豐厝地	山	8.99 	227.33 	969.07 	2.31 	5.83 	0.32 	59
1734	山川寮	山	9.02 	1837.81 	323.62 	10.68 	184.71 	0.17 	4
1732	山川寮	山	9.03 	86.66 	224.70 	0.69 	8.16 	0.01 	4
27057	山後	山	9.26 	169.73 	354.77 	22.54 	23.40 	0.03 	72
39457	山?	山	9.45 	131.11 	762.59 	13.25 	231.78 	0.54 	42
10967	員山仔	山	9.57 	32.50 	549.65 	1.13 	106.82 	0.01 	42
38928	山邊	山	9.60 	453.91 	649.00 	5.34 	144.15 	0.15 	75
18672	郭石頭山莊	山	9.73 	60.74 	623.53 	1.37 	5.06 	0.02 	33
22897	山寮	山	9.74 	55.68 	435.97 	7.08 	11.57 	0.11 	3
28203	打鐵山	山	9.84 	322.18 	920.42 	1.11 	208.46 	0.12 	6
21151	山腳	山	9.93 	709.96 	246.46 	7.37 	284.91 	0.12 	53
39656	太武山莊	山	9.99 	76.76 	348.18 	2.22 	240.70 	0.04 	42
367	山仔腳	山	10.03 	37.05 	406.70 	1.51 	53.31 	0.01 	145
15811	員山	山	10.10 	44.48 	508.29 	1.84 	92.65 	0.03 	39
8581	山寮	山	10.14 	194.27 	239.81 	0.44 	7.41 	0.01 	9
34115	山寮	山	10.29 	872.65 	307.62 	0.44 	201.01 	0.30 	5
34703	龜山	山	10.35 	4.83 	403.99 	11.67 	130.32 	0.02 	50
8228	外員山	山	10.38 	157.92 	1044.30 	1.86 	146.55 	0.05 	39
3100	山仔頭	山	10.38 	33.43 	621.50 	0.45 	69.42 	0.45 	57
2134	大山腳	山	10.45 	34.57 	856.85 	14.96 	109.86 	0.23 	19
27528	大山腳	山	10.45 	540.32 	530.07 	1.56 	470.58 	0.67 	19
37073	大山腳	山	10.45 	1.31 	519.24 	1.23 	33.89 	0.20 	19
39713	尖山腳	山	10.56 	22.43 	490.82 	2.44 	14.19 	0.01 	86
39743	山腳下窩仔	山	10.59 	54.02 	449.63 	6.72 	4.76 	0.03 	81
4126	尖山	山	10.66 	2.66 	819.06 	1.92 	85.11 	0.02 	19
4128	尖山	山	10.66 	77.52 	293.42 	1.36 	293.90 	0.01 	19
40863	尖山	山	10.66 	37.54 	653.52 	1.87 	21.35 	0.02 	19
40865	尖山	山	10.66 	44.98 	590.44 	1.19 	281.69 	0.02 	19
19975	員山	山	10.79 	23.95 	363.61 	1.89 	199.97 	0.19 	57
25484	屎山仔	山	10.86 	21.96 	932.83 	0.84 	19.60 	0.01 	20
27603	屎山仔	山	10.86 	35.13 	1110.66 	5.64 	17.02 	0.01 	20
34921	山寮	山	10.92 	1009.33 	295.02 	7.24 	92.59 	0.01 	23
10369	尖山	山	10.98 	140.21 	328.67 	28.39 	56.71 	0.03 	66
14743	田喬山莊	山	11.14 	142.21 	390.18 	24.97 	621.51 	0.30 	60
25040	結善山莊	山	11.14 	17.10 	369.70 	1.30 	131.46 	0.01 	60
33157	山仔內	山	11.27 	5792.82 	376.81 	0.43 	24.12 	0.04 	8
29075	山仔腳	山	11.80 	3520.11 	438.94 	4.51 	9.04 	0.01 	43
7008	山子腳	山	11.87 	222.06 	557.38 	0.68 	167.76 	0.09 	11
25479	中山里	山	12.00 	34.26 	717.34 	1.63 	18.71 	0.01 	20
27602	中山里	山	12.00 	83.94 	252.36 	1.86 	61.06 	0.02 	20
9212	丘陵山地地區	山	12.12 	2305.14 	275.11 	0.75 	7.70 	0.01 	9
10124	內圓山	山	12.20 	2065.29 	278.06 	0.79 	551.81 	0.01 	60
1867	山仔尾	山	12.35 	110.37 	318.65 	0.27 	3.16 	0.00 	20
23781	山仔尾	山	12.35 	97.44 	915.51 	19.97 	70.46 	0.01 	20
26515	球仔山腳	山	12.43 	86.92 	204.52 	4.98 	112.01 	0.25 	122
6027	墓庵山	山	12.44 	86.73 	393.86 	3.89 	24.76 	0.09 	20
30639	墓庵山	山	12.44 	36.49 	1026.52 	1.26 	19.84 	0.02 	20
37347	山寮仔頭	山	12.52 	294.47 	477.15 	0.42 	71.15 	0.14 	20
4164	馬房山	山	12.58 	2952.07 	383.11 	5.58 	761.88 	0.01 	23
40777	馬房山	山	12.58 	42.52 	666.88 	1.88 	17.46 	0.02 	23
4165	後壁山仔	山	12.64 	81.61 	295.48 	26.08 	33.74 	0.02 	23
40778	後壁山仔	山	12.64 	16.73 	273.37 	10.86 	100.14 	0.01 	23
10969	員山仔腳	山	12.87 	4214.99 	464.08 	2.36 	101.81 	0.16 	60
5983	魁斗山	山	12.92 	4181.62 	335.45 	1.47 	7.67 	0.28 	21
30669	魁斗山	山	12.92 	13.01 	1038.41 	2.16 	16.98 	0.01 	21
37345	山寮頭	山	13.06 	6957.96 	653.40 	1.10 	24.61 	0.03 	21
22291	山仔腳	山	13.12 	120.88 	957.60 	14.57 	77.65 	0.22 	46
13862	本山	山	13.62 	117.23 	475.14 	7.31 	10.01 	0.11 	24
26899	山仔門	山	13.83 	2151.26 	347.06 	10.37 	31.16 	0.19 	6
5982	大山尖	山	13.90 	73.06 	361.78 	1.18 	15.08 	0.02 	23
30668	大山尖	山	13.90 	36.00 	248.10 	1.02 	72.49 	0.05 	23
35067	大山腳	山	13.92 	14.58 	302.54 	25.12 	515.54 	0.01 	25
16913	龜山後	山	14.09 	21.15 	1144.16 	9.65 	185.53 	0.15 	74
28669	山仔腳	山	14.15 	28.67 	547.86 	20.15 	80.16 	0.16 	6
16991	龍山莊	山	14.19 	191.20 	1378.96 	6.54 	9.71 	0.01 	13
19482	春意山莊	山	14.19 	76.35 	187.27 	8.98 	9.04 	0.01 	13
39225	相山莊	山	14.19 	36.16 	1252.38 	1.25 	74.62 	0.01 	13
20800	鳳山新村	山	14.31 	37.69 	284.21 	13.33 	7.26 	0.02 	11
39741	山腳	山	14.36 	854.97 	257.13 	6.32 	21.57 	0.35 	125
1095	圓山公寓	山	14.63 	55.98 	457.67 	8.91 	105.30 	0.13 	34
2889	龜子山	山	14.84 	50.09 	324.15 	5.04 	104.82 	0.08 	98
34930	山腳	山	15.39 	435.54 	1255.38 	0.91 	9.60 	0.13 	27
26575	久山	山	15.42 	3011.91 	1089.27 	12.92 	11.00 	0.15 	39
31073	下大山腳	山	15.47 	17.91 	398.77 	11.20 	222.41 	0.54 	34
9690	山佳	山	15.52 	194.15 	169.91 	6.72 	50.60 	0.03 	27
36977	禁山	山	15.55 	58.41 	866.59 	2.65 	450.50 	0.02 	13
21717	蝦仔山後庄	山	15.66 	33.75 	243.60 	10.00 	52.36 	0.14 	12
1881	屎山仔	山	15.68 	6436.28 	358.73 	10.03 	512.20 	0.15 	19
23801	屎山仔	山	15.68 	32.18 	314.54 	19.09 	38.20 	0.01 	19
15472	山子腳	山	15.91 	1983.87 	676.37 	15.85 	103.66 	0.19 	7
31442	山仔腳	山	16.05 	680.47 	380.56 	11.91 	7.86 	0.42 	6
29467	?榔山	山	16.15 	19.48 	228.15 	15.12 	585.52 	0.21 	32
37156	中山新城	山	16.18 	1086.50 	252.46 	1.80 	8.07 	0.02 	37
16993	龍山新村	山	16.32 	47.16 	701.06 	0.28 	104.82 	0.01 	28
35142	下樹山	山	16.34 	4232.47 	268.81 	15.41 	45.50 	0.14 	12
1945	山川台	山	16.38 	11.17 	593.64 	0.50 	94.28 	0.25 	18
23771	山川台	山	16.38 	46.52 	265.47 	27.02 	26.66 	0.15 	18
9250	青山新村	山	16.62 	1134.34 	268.56 	1.81 	49.65 	0.03 	66
40721	玉山社區	山	16.66 	6970.88 	328.45 	23.61 	56.83 	0.44 	24
7068	山前	山	16.84 	13935.67 	639.31 	0.70 	109.39 	0.00 	73
4276	圓山仔	山	16.84 	1755.29 	553.98 	1.20 	7.99 	0.01 	34
15897	祥和山莊	山	16.86 	109.87 	301.30 	1.20 	74.59 	0.02 	93
4274	山仔腳	山	17.03 	98.80 	358.04 	4.78 	65.13 	0.07 	45
9297	中山新城	山	17.09 	32.60 	751.74 	0.58 	6.53 	0.01 	16
33113	山川台	山	17.17 	34.07 	978.16 	1.37 	15.41 	0.01 	20
24215	上大山腳	山	17.22 	63.77 	364.24 	1.33 	458.32 	0.03 	46
7802	崩山口	山	17.29 	47.87 	386.26 	13.53 	96.98 	0.01 	80
7593	山川台	山	17.29 	37.08 	399.51 	17.79 	15.63 	0.02 	20
27695	山川台	山	17.29 	187.55 	448.80 	1.07 	108.04 	0.01 	20
33112	山川台	山	17.29 	62.61 	492.98 	24.89 	509.01 	0.40 	20
21150	鷺山	山	17.37 	154.56 	250.71 	20.27 	5.60 	0.05 	60
1952	臥牛山	山	17.48 	172.58 	146.53 	24.79 	7.82 	0.01 	17
23776	臥牛山	山	17.48 	98.60 	886.02 	2.58 	18.91 	0.02 	17
31739	赤山	山	17.69 	85.25 	367.92 	1.56 	21.36 	0.03 	28
14172	尖山堆	山	17.86 	335.98 	257.45 	18.54 	322.95 	0.29 	12
12844	大山	山	18.32 	50.99 	1792.11 	5.69 	255.19 	0.19 	28
35058	尖山下	山	18.35 	594.00 	253.99 	1.02 	68.69 	0.43 	78
40514	山下排	山	18.38 	48.80 	357.80 	1.55 	356.28 	0.21 	30
29451	猴洞山	山	18.41 	428.02 	236.74 	5.04 	26.16 	0.01 	15
17596	廣山	山	18.67 	15.18 	740.31 	17.78 	437.98 	0.01 	149
9712	中尖山	山	18.75 	15.77 	295.13 	20.09 	213.04 	0.42 	78
15560	金山別墅	山	18.91 	100.79 	243.85 	2.02 	175.57 	0.17 	47
18963	高芝英山莊	山	18.92 	1202.49 	812.11 	7.98 	241.45 	0.21 	60
7599	山仔	山	18.92 	42.22 	595.11 	1.66 	30.17 	0.01 	17
27701	山仔	山	18.92 	23.47 	663.71 	28.95 	33.82 	0.02 	17
8254	內員山	山	19.00 	14.75 	262.14 	1.03 	12.99 	0.03 	149
12522	雙鵝山	山	19.12 	4.32 	262.71 	1.66 	40.89 	0.02 	76
9193	下山腳	山	19.28 	51.19 	245.74 	23.42 	7.43 	0.01 	122
29977	崩山	山	19.30 	1705.75 	231.02 	0.72 	9.37 	0.04 	21
36142	崩山	山	19.30 	50.50 	397.54 	25.95 	9.70 	0.00 	21
40509	山下路羅屋	山	19.44 	1323.64 	287.26 	0.41 	103.52 	0.02 	36
15483	山光社區	山	19.62 	203.22 	339.38 	4.20 	187.61 	0.35 	87
38490	美山	山	19.77 	397.99 	334.99 	18.35 	10.89 	0.01 	89
15899	祥雲山莊	山	19.92 	47.78 	421.89 	1.73 	8.21 	0.22 	27
26501	虎仔山腳	山	19.94 	308.52 	469.60 	10.90 	11.67 	0.07 	126
40508	山下路黃屋	山	19.98 	153.36 	274.43 	18.83 	23.42 	0.05 	36
33146	山上社區	山	20.36 	975.18 	232.53 	2.76 	140.26 	0.19 	30
37142	中山莊	山	20.54 	14.57 	245.66 	1.42 	92.30 	0.01 	48
22232	山仔後	山	20.71 	3342.98 	267.34 	8.62 	155.84 	0.13 	68
16186	忠孝山莊	山	20.71 	2779.03 	437.16 	0.75 	6.25 	0.02 	76
9286	山腳	山	20.72 	482.25 	266.24 	0.75 	27.29 	0.01 	168
33846	川文山	山	21.06 	1317.13 	341.46 	0.66 	22.07 	0.05 	34
9678	牛稠山	山	21.27 	286.90 	298.47 	0.56 	8.18 	0.23 	22
38210	白馬山莊	山	21.31 	2737.51 	363.39 	19.96 	444.32 	0.01 	10
33960	香山塘	山	21.45 	50.69 	247.33 	13.62 	23.14 	0.14 	89
17608	德山社區	山	21.77 	107.79 	772.64 	20.88 	90.05 	0.01 	147
17639	綠園山莊	山	21.93 	33.06 	671.20 	0.94 	3.10 	0.10 	72
30376	牛斗山莊	山	21.98 	170.00 	406.93 	5.33 	13.83 	0.01 	23
33948	香山	山	22.09 	805.19 	561.34 	11.48 	158.04 	0.11 	76
33949	香山	山	22.09 	2526.55 	249.67 	1.13 	127.36 	0.24 	76
33950	香山	山	22.09 	790.61 	278.85 	0.96 	716.27 	0.04 	76
33951	香山	山	22.09 	312.48 	405.44 	6.57 	8.28 	0.02 	76
33952	香山	山	22.09 	20.85 	400.82 	15.74 	22.11 	0.01 	76
7806	老崩山遺址	山	22.26 	268.22 	203.35 	5.84 	71.07 	0.09 	87
7724	迎旭山莊	山	22.49 	568.58 	595.32 	1.09 	4.53 	0.24 	93
29214	鳳山厝	山	22.76 	2143.92 	350.09 	1.13 	112.36 	0.01 	31
37734	孤山	山	22.98 	109.33 	568.39 	12.02 	57.80 	0.08 	44
9285	山腳	山	23.02 	1961.91 	741.92 	14.79 	34.94 	0.21 	103
40552	山腳	山	23.26 	107.17 	337.67 	10.38 	145.10 	0.24 	119
38737	屏山新村	山	23.59 	308.92 	1073.18 	1.30 	20.49 	0.01 	159
9127	泰山	山	23.59 	572.69 	260.57 	0.88 	15.21 	0.02 	168
29259	牛頭山	山	23.59 	20.12 	289.62 	1.99 	17.17 	0.00 	7
26696	山青園仔	山	23.77 	9.83 	329.48 	0.93 	61.92 	0.01 	23
39840	伯爵山莊	山	23.86 	7697.68 	254.17 	0.78 	38.05 	0.01 	103
41054	公山	山	23.97 	299.88 	772.05 	1.13 	75.99 	0.01 	129
34199	公園小山	山	23.99 	2872.66 	317.27 	22.26 	362.22 	0.04 	119
21541	山腳	山	24.16 	170.54 	463.66 	1.37 	14.52 	0.01 	94
8165	山仔前	山	24.33 	218.06 	485.47 	22.12 	81.54 	0.40 	70
19803	玫瑰山莊	山	24.36 	1962.16 	256.49 	1.46 	159.96 	0.67 	36
26530	木山澳仔	山	24.59 	54.58 	225.77 	0.81 	19.53 	0.06 	151
6722	下山仔腳	山	24.67 	329.25 	373.36 	1.59 	22.15 	0.02 	29
34826	湯山新村	山	24.72 	264.91 	525.39 	13.98 	17.20 	0.02 	20
15562	金山新村	山	24.73 	115.57 	263.90 	23.43 	63.71 	0.01 	7
2113	源泉山莊	山	24.76 	98.09 	432.82 	0.62 	132.40 	0.01 	59
16862	檳榔山莊	山	24.76 	42.45 	232.98 	1.15 	6.85 	0.02 	59
19644	冠亞儷菊山莊	山	24.78 	201.63 	582.70 	1.39 	497.69 	0.03 	115
37046	中山	山	24.87 	79.73 	329.31 	2.52 	6.22 	0.04 	15
40511	上山下	山	24.95 	5705.18 	452.69 	1.31 	20.15 	0.12 	39
12110	櫻山社區	山	25.33 	63.57 	814.58 	1.58 	164.88 	0.02 	56
35390	山腳	山	25.60 	16878.89 	328.04 	2.06 	3.11 	0.17 	123
29715	山寮	山	25.86 	167.42 	342.21 	0.66 	232.12 	0.34 	39
19827	芝山莊別墅	山	25.87 	1065.13 	310.40 	7.11 	21.99 	0.01 	79
26600	千禧山莊	山	25.90 	15.59 	1016.45 	0.58 	210.27 	0.02 	161
35135	上樹山	山	26.02 	30.69 	453.68 	0.35 	299.44 	0.01 	11
940	前山	山	26.16 	46.54 	500.98 	1.31 	15.19 	0.17 	156
9251	青山新城	山	26.20 	2584.93 	400.25 	7.96 	665.12 	0.12 	77
19837	玫瑰山莊	山	26.37 	18.82 	1201.62 	15.24 	182.43 	0.05 	13
33110	山子腳	山	26.46 	123.00 	297.45 	1.28 	17.30 	0.27 	22
1012	山仔後	山	26.48 	34.95 	495.44 	0.86 	577.47 	0.01 	133
12842	大山	山	26.91 	20.48 	347.26 	19.86 	7.43 	0.58 	42
36851	山腳子	山	26.94 	5713.91 	324.09 	2.52 	493.24 	0.03 	21
40718	玉山	山	27.14 	1002.12 	547.41 	1.33 	103.62 	0.07 	11
9287	山腳	山	27.16 	112.90 	272.73 	22.32 	441.65 	0.37 	21
34206	山腳莊	山	27.19 	90.09 	329.49 	11.45 	15.02 	0.09 	21
181	山腳	山	27.22 	78.25 	440.60 	8.70 	171.46 	0.14 	177
37138	中山社區	山	27.22 	519.96 	398.84 	1.52 	750.51 	0.09 	7
12474	龜山岩	山	27.40 	1556.68 	224.08 	8.39 	48.42 	0.07 	132
26503	崩山	山	27.55 	40.59 	390.86 	1.29 	45.23 	0.02 	147
26710	上茄苳山仔	山	27.70 	90.70 	483.20 	2.21 	89.70 	0.01 	22
17266	橫山莊	山	27.71 	4459.73 	327.18 	7.00 	138.89 	0.02 	21
19616	阿里山村	山	27.91 	71.50 	342.07 	1.17 	5.71 	0.01 	22
32671	山仔前	山	28.11 	31.88 	453.90 	0.77 	7.00 	0.02 	27
31222	石山部落	山	28.25 	13.05 	259.31 	10.14 	208.41 	0.01 	180
