FID	place_name	category1	DEM_RANGE	DEM_MEAN	HDIS_MIN	HDIS_MEAN	FAC_MEAN	GRA_MEAN	RELIEF_MEAN	ROUGHNESS_MEAN	VDIS_MIN_	VDIS_MEAN
30085	¥´ÅK§|	§|	95.0 	370.5 	441.8 	780.8 	12.4 	13.7 	109.3 	0.2 	22.0 	70.7 
30094	¬ÃªF§|	§|	145.0 	349.0 	164.9 	699.5 	21.3 	18.5 	160.5 	0.3 	0.0 	57.0 
30096	¤j«n§|	§|	262.0 	698.6 	0.0 	217.3 	97.3 	23.4 	317.7 	0.4 	0.0 	65.3 
30097	¤p«n§|	§|	206.0 	563.8 	0.0 	207.6 	187.8 	19.1 	259.0 	0.3 	0.0 	45.5 
30101	³Â¦Ë§|	§|	327.0 	653.3 	0.0 	199.4 	68.3 	24.8 	349.3 	0.4 	0.0 	98.9 
30127	Àê§|	§|	216.0 	540.1 	0.0 	355.5 	2610.6 	14.4 	235.3 	0.2 	0.0 	47.2 
30161	¤M¥Û§|¤f	§|	78.0 	204.8 	0.0 	480.0 	49.3 	6.3 	82.1 	0.1 	0.0 	17.7 
30389	¤j¦Ë§|	§|	213.0 	327.5 	0.0 	521.7 	41.9 	24.6 	258.0 	0.4 	0.0 	83.5 
30420	¤T­«§|	§|	146.0 	274.1 	0.0 	211.4 	201.0 	18.6 	188.8 	0.3 	0.0 	44.9 
30430	¥Û¤û§|	§|	274.0 	349.3 	0.0 	322.7 	52.3 	27.7 	244.9 	0.5 	0.0 	75.2 
30454	¨®¸ô§|	§|	117.0 	172.4 	40.0 	457.8 	20.2 	10.3 	118.2 	0.2 	0.0 	44.9 
30459	¤pªF§|	§|	155.0 	230.8 	0.0 	316.5 	62.8 	21.3 	147.6 	0.3 	0.0 	64.6 
30460	¤p¥_§|	§|	142.0 	211.7 	0.0 	355.4 	55.1 	21.4 	151.4 	0.3 	0.0 	74.5 
30461	¤j§ò§|	§|	145.0 	160.6 	89.4 	584.8 	11.1 	10.0 	129.2 	0.1 	3.0 	77.3 
30481	³À¥J§|	§|	95.0 	123.2 	880.9 	1153.6 	11.8 	9.5 	84.8 	0.1 	21.0 	49.5 
30532	¤g¦a¤½§|	§|	80.0 	58.7 	80.0 	621.5 	69.8 	9.7 	81.4 	0.2 	0.0 	21.4 
30533	«n¶Õ§|	§|	78.0 	62.2 	233.2 	763.1 	63.3 	10.8 	82.3 	0.2 	0.0 	23.4 
